hypocenter_type	quality	year	month	day	hour	minute	second	latitude	longitude	depth	magnitude_1	magnitude_2	region	eventname
SWEM	C	1998	6	29	15	16	56.00	69.5000	-49.5000	10.0	0.0	4.7	WESTERNGREENLAND	199806291516A

SWEM	B	1998	7	8	9	31	12.00	66.7500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	199807080931A

SWEM	C	1998	7	21	6	30	16.00	69.0000	-49.0000	10.0	0.0	4.8	WESTERNGREENLAND	199807210630A

SWEM	C	1998	7	25	0	49	4.00	69.0000	-49.0000	10.0	0.0	4.7	WESTERNGREENLAND	199807250049A

SWEM	B	1998	7	28	0	37	28.00	69.5000	-49.5000	10.0	0.0	4.8	WESTERNGREENLAND	199807280037A

SWEM	B	1998	9	20	3	36	0.00	68.2500	-33.7500	10.0	0.0	4.7	EASTERNGREENLAND	199809200336A

SWEM	A	1998	10	13	22	12	48.00	68.7500	-32.2500	10.0	0.0	5.0	EASTERNGREENLAND	199810132212A

SWEM	A	1998	10	27	3	30	24.00	68.7500	-32.7500	10.0	0.0	5.0	EASTERNGREENLAND	199810270330A

SWEM	C	1999	1	22	14	0	48.00	68.2500	-34.2500	10.0	0.0	4.8	EASTERNGREENLAND	199901221400A

SWEM	A	1999	4	19	23	0	24.00	71.7500	-51.2500	10.0	0.0	4.9	WESTERNGREENLAND	199904192300A

SWEM	C	1999	4	21	3	49	36.00	69.2500	-51.7500	10.0	0.0	4.8	WESTERNGREENLAND	199904210349A

SWEM	C	1999	4	24	12	17	28.00	69.5000	-50.5000	10.0	0.0	4.9	WESTERNGREENLAND	199904241217A

SWEM	C	1999	5	2	23	16	24.00	69.7500	-49.7500	10.0	0.0	4.7	WESTERNGREENLAND	199905022316A

SWEM	C	1999	5	20	11	34	56.00	68.7500	-49.7500	10.0	0.0	4.8	WESTERNGREENLAND	199905201134A

SWEM	C	1999	6	9	14	49	4.00	70.5000	-49.5000	10.0	0.0	4.8	WESTERNGREENLAND	199906091449A

SWEM	B	1999	7	18	6	30	32.00	66.5000	-38.5000	10.0	0.0	4.8	EASTERNGREENLAND	199907180630A

SWEM	C	1999	8	14	14	4	56.00	68.7500	-50.2500	10.0	0.0	4.9	WESTERNGREENLAND	199908141404A

SWEM	B	1999	9	2	9	16	56.00	66.7500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	199909020916A

SWEM	A	1999	10	8	9	34	56.00	68.2500	-32.7500	10.0	0.0	4.9	EASTERNGREENLAND	199910080934A

SWEM	B	1999	11	15	22	56	8.00	68.2500	-32.7500	10.0	0.0	4.8	EASTERNGREENLAND	199911152256A

SWEM	B	1999	11	15	23	6	16.00	68.2500	-32.7500	10.0	0.0	4.9	EASTERNGREENLAND	199911152306A

SWEM	C	1999	12	21	4	40	16.00	65.5000	-37.5000	10.0	0.0	4.7	EASTERNGREENLAND	199912210440A

SWEM	C	2000	3	3	14	41	12.00	69.2500	-30.7500	10.0	0.0	4.8	EASTERNGREENLAND	200003031441A

SWEM	C	2000	6	12	9	37	4.00	69.5000	-31.5000	10.0	0.0	4.8	EASTERNGREENLAND	200006120937A

SWEM	C	2000	7	2	10	36	48.00	71.7500	-28.7500	10.0	0.0	4.8	EASTERNGREENLAND	200007021036A

SWEM	B	2000	7	21	19	2	40.00	67.7500	-34.2500	10.0	0.0	5.0	EASTERNGREENLAND	200007211902A

